number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.5666666666666667,2025-11-10 03:15:48.645037,2025-11-10 03:15:49.425529,0 days 00:00:00.780492,20,6,15,144,COMPLETE
1,0.4333333333333333,2025-11-10 03:15:49.463040,2025-11-10 03:15:49.962272,0 days 00:00:00.499232,5,9,3,89,COMPLETE
2,0.5666666666666667,2025-11-10 03:15:49.984290,2025-11-10 03:15:51.011557,0 days 00:00:01.027267,15,10,2,200,COMPLETE
3,0.6166666666666667,2025-11-10 03:15:51.036460,2025-11-10 03:15:52.360842,0 days 00:00:01.324382,6,2,5,258,COMPLETE
4,0.6066666666666667,2025-11-10 03:15:52.390247,2025-11-10 03:15:53.083199,0 days 00:00:00.692952,12,3,10,126,COMPLETE
5,0.5666666666666667,2025-11-10 03:15:53.111242,2025-11-10 03:15:54.158345,0 days 00:00:01.047103,5,4,7,203,COMPLETE
6,0.5666666666666667,2025-11-10 03:15:54.186496,2025-11-10 03:15:55.051903,0 days 00:00:00.865407,17,6,5,164,COMPLETE
7,0.5333333333333333,2025-11-10 03:15:55.079603,2025-11-10 03:15:56.105198,0 days 00:00:01.025595,3,2,13,198,COMPLETE
8,0.5666666666666667,2025-11-10 03:15:56.133435,2025-11-10 03:15:56.531450,0 days 00:00:00.398015,20,9,20,66,COMPLETE
9,0.5666666666666667,2025-11-10 03:15:56.557720,2025-11-10 03:15:57.238535,0 days 00:00:00.680815,4,5,15,126,COMPLETE
10,0.6066666666666667,2025-11-10 03:15:57.266669,2025-11-10 03:15:58.738620,0 days 00:00:01.471951,9,1,9,287,COMPLETE
11,0.5666666666666667,2025-11-10 03:15:58.765615,2025-11-10 03:16:00.154402,0 days 00:00:01.388787,10,3,10,269,COMPLETE
12,0.6166666666666667,2025-11-10 03:16:00.178465,2025-11-10 03:16:01.454270,0 days 00:00:01.275805,12,1,7,246,COMPLETE
13,0.6166666666666667,2025-11-10 03:16:01.481415,2025-11-10 03:16:02.789118,0 days 00:00:01.307703,8,1,6,250,COMPLETE
14,0.6166666666666667,2025-11-10 03:16:02.816917,2025-11-10 03:16:04.066191,0 days 00:00:01.249274,13,1,5,241,COMPLETE
15,0.5666666666666667,2025-11-10 03:16:04.094459,2025-11-10 03:16:05.294204,0 days 00:00:01.199745,7,3,8,231,COMPLETE
16,0.5666666666666667,2025-11-10 03:16:05.318026,2025-11-10 03:16:06.822236,0 days 00:00:01.504210,14,7,4,296,COMPLETE
17,0.5666666666666667,2025-11-10 03:16:06.845029,2025-11-10 03:16:08.194190,0 days 00:00:01.349161,11,2,12,262,COMPLETE
